SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Mon May 11 14:15:37 CEST 2020
User: ma3468an-s
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB2G47824
Integration Time (usec): 100000 (USB2G47824)
Spectra Averaged: 1 (USB2G47824)
Boxcar Smoothing: 0 (USB2G47824)
Correct for Electrical Dark: No (USB2G47824)
Strobe/Lamp Enabled: No (USB2G47824)
Correct for Detector Non-linearity: No (USB2G47824)
Correct for Stray Light: No (USB2G47824)
Number of Pixels in Processed Spectrum: 651
>>>>>Begin Processed Spectral Data<<<<<
658,00	204,37
659,00	198,48
660,00	200,63
661,00	198,30
662,00	200,01
663,00	200,86
664,00	202,21
665,00	196,34
666,00	193,93
667,00	206,66
668,00	201,15
669,00	202,82
670,00	199,92
671,00	197,72
672,00	198,33
673,00	196,25
674,00	195,21
675,00	200,00
676,00	203,79
677,00	204,96
678,00	191,55
679,00	197,35
680,00	198,68
681,00	197,52
682,00	193,79
683,00	195,63
684,00	197,38
685,00	193,04
686,00	187,94
687,00	192,83
688,00	194,10
689,00	189,95
690,00	189,37
691,00	196,17
692,00	187,99
693,00	191,14
694,00	191,04
695,00	185,48
696,00	186,83
697,00	193,08
698,00	192,95
699,00	192,86
700,00	191,83
701,00	187,97
702,00	187,24
703,00	187,62
704,00	189,40
705,00	193,22
706,00	190,20
707,00	187,36
708,00	189,19
709,00	186,65
710,00	188,56
711,00	190,25
712,00	186,76
713,00	194,94
714,00	191,49
715,00	189,70
716,00	195,14
717,00	181,87
718,00	187,29
719,00	184,35
720,00	187,88
721,00	186,78
722,00	189,22
723,00	190,04
724,00	185,51
725,00	188,38
726,00	188,47
727,00	186,68
728,00	187,30
729,00	182,85
730,00	187,17
731,00	184,92
732,00	185,24
733,00	189,65
734,00	182,11
735,00	185,38
736,00	183,01
737,00	186,13
738,00	182,11
739,00	185,68
740,00	185,89
741,00	199,87
742,00	188,44
743,00	185,31
744,00	189,12
745,00	182,17
746,00	181,19
747,00	184,08
748,00	182,62
749,00	182,77
750,00	184,95
751,00	185,08
752,00	180,16
753,00	183,71
754,00	181,79
755,00	184,18
756,00	183,84
757,00	190,37
758,00	180,71
759,00	180,09
760,00	180,04
761,00	181,89
762,00	180,98
763,00	179,97
764,00	180,06
765,00	181,83
766,00	184,93
767,00	185,71
768,00	185,03
769,00	185,64
770,00	183,72
771,00	182,23
772,00	181,47
773,00	179,43
774,00	176,75
775,00	181,07
776,00	182,91
777,00	181,47
778,00	189,60
779,00	187,03
780,00	183,95
781,00	181,28
782,00	182,66
783,00	182,91
784,00	182,71
785,00	194,84
786,00	183,40
787,00	176,41
788,00	187,32
789,00	183,61
790,00	180,00
791,00	182,30
792,00	186,00
793,00	178,13
794,00	183,35
795,00	183,13
796,00	181,34
797,00	181,51
798,00	180,73
799,00	179,10
800,00	180,67
801,00	178,78
802,00	180,03
803,00	186,41
804,00	180,87
805,00	181,02
806,00	181,03
807,00	178,91
808,00	177,97
809,00	178,29
810,00	176,00
811,00	177,94
812,00	173,12
813,00	172,80
814,00	180,80
815,00	177,31
816,00	177,87
817,00	176,74
818,00	175,94
819,00	179,88
820,00	174,64
821,00	181,18
822,00	177,59
823,00	179,85
824,00	180,37
825,00	179,96
826,00	181,94
827,00	176,08
828,00	177,57
829,00	182,52
830,00	179,87
831,00	175,00
832,00	179,98
833,00	181,88
834,00	183,06
835,00	178,20
836,00	184,90
837,00	180,76
838,00	181,15
839,00	177,98
840,00	180,52
841,00	182,26
842,00	178,33
843,00	181,93
844,00	183,05
845,00	182,04
846,00	180,44
847,00	179,47
848,00	276,80
849,00	183,71
850,00	178,94
851,00	175,19
852,00	179,92
853,00	173,41
